2025-08-12 01:41:11.146 |     INFO |                 root | run_comprehensive_debug: 326 | 🚀 STARTING COMPREHENSIVE DATABASE CONNECTION DEBUG
2025-08-12 01:41:24.331 |     INFO |                 root | test_network_connectivity: 119 | ==================================================
2025-08-12 01:41:24.332 |     INFO |                 root | test_network_connectivity: 125 | Testing TCP connection to dpg-d2d4ffemc3f73a7b9p0-a.virginia-postgres.render.com:5432
2025-08-12 01:41:24.533 |     INFO |                 root | test_network_connectivity: 135 | ✅ TCP connection successful in 0.201 seconds
2025-08-12 01:41:24.533 |     INFO |                 root | test_network_connectivity: 140 | Local address: ('192.168.1.111', 57648)
2025-08-12 01:41:24.533 |     INFO |                 root | test_network_connectivity: 141 | Remote address: ('54.87.193.254', 5432)
2025-08-12 01:41:24.533 |     INFO |                 root | test_network_connectivity: 152 | Testing SSL connection to dpg-d2d4ffemc3f73a7b9p0-a.virginia-postgres.render.com:5432
2025-08-12 01:41:24.567 |     INFO |                 root | test_network_connectivity: 157 | SSL protocol: 16
2025-08-12 01:41:24.567 |     INFO |                 root | test_network_connectivity: 158 | SSL verify mode: 2
2025-08-12 01:41:24.567 |     INFO |                 root | test_network_connectivity: 159 | SSL check hostname: True
2025-08-12 01:41:24.757 |     INFO |                 root | test_network_connectivity: 162 | Raw socket connection established
2025-08-12 01:41:24.942 |    ERROR |                 root | test_network_connectivity: 175 | ❌ SSL connection failed: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1000)
2025-08-12 01:41:24.943 |    ERROR |                 root | test_network_connectivity: 176 | SSL error type: SSLError
2025-08-12 01:41:24.944 |     INFO |                 root | test_psycopg2_connection_variants: 180 | ==================================================
2025-08-12 01:41:24.944 |     INFO |                 root | test_psycopg2_connection_variants: 181 | PSYCOPG2 CONNECTION VARIANTS TESTING
2025-08-12 01:41:24.944 |     INFO |                 root | test_psycopg2_connection_variants: 182 | ==================================================
2025-08-12 01:41:24.944 |     INFO |                 root | test_psycopg2_connection_variants: 191 | Testing Connection Variant 1: Individual parameters with sslmode=require
2025-08-12 01:41:25.840 |    ERROR |                 root | test_psycopg2_connection_variants: 222 | ❌ Variant 1 FAILED: connection to server at "dpg-d2d4ffemc3f73a7b9p0-a.virginia-postgres.render.com" (18.205.164.157), port 5432 failed: SSL connection has been closed unexpectedly

2025-08-12 01:41:25.840 |    ERROR |                 root | test_psycopg2_connection_variants: 223 | Exception type: OperationalError
2025-08-12 01:41:25.840 |    ERROR |                 root | test_psycopg2_connection_variants: 225 | PostgreSQL error code: None
2025-08-12 01:41:25.840 |    ERROR |                 root | test_psycopg2_connection_variants: 227 | PostgreSQL error message: None
2025-08-12 01:41:25.840 |     INFO |                 root | test_psycopg2_connection_variants: 230 | Testing Connection Variant 2: Full URL format
2025-08-12 01:41:25.840 |     INFO |                 root | test_psycopg2_connection_variants: 233 | Connection URL (password masked): postgresql://surf_lamp_db_user:****@dpg-d2d4ffemc3f73a7b9p0-a.virginia-postgres.render.com:5432/surf_lamp_db
2025-08-12 01:41:26.786 |    ERROR |                 root | test_psycopg2_connection_variants: 243 | ❌ Variant 2 FAILED: connection to server at "dpg-d2d4ffemc3f73a7b9p0-a.virginia-postgres.render.com" (18.205.164.157), port 5432 failed: SSL connection has been closed unexpectedly

2025-08-12 01:41:26.786 |    ERROR |                 root | test_psycopg2_connection_variants: 244 | Exception type: OperationalError
2025-08-12 01:41:26.786 |     INFO |                 root | test_psycopg2_connection_variants: 247 | Testing Connection Variant 3: sslmode=prefer
2025-08-12 01:41:28.099 |    ERROR |                 root | test_psycopg2_connection_variants: 267 | ❌ Variant 3 FAILED: connection to server at "dpg-d2d4ffemc3f73a7b9p0-a.virginia-postgres.render.com" (35.174.144.149), port 5432 failed: SSL connection has been closed unexpectedly

2025-08-12 01:41:28.099 |    ERROR |                 root | test_psycopg2_connection_variants: 268 | Exception type: OperationalError
2025-08-12 01:41:28.100 |     INFO |                 root | test_psycopg2_connection_variants: 271 | Testing Connection Variant 4: sslmode=disable (testing only)
2025-08-12 01:41:28.527 |    ERROR |                 root | test_psycopg2_connection_variants: 291 | ❌ Variant 4 FAILED: connection to server at "dpg-d2d4ffemc3f73a7b9p0-a.virginia-postgres.render.com" (18.205.164.157), port 5432 failed: FATAL:  SSL/TLS required

2025-08-12 01:41:28.527 |    ERROR |                 root | test_psycopg2_connection_variants: 292 | Exception type: OperationalError
2025-08-12 01:41:28.527 |     INFO |                 root | run_comprehensive_debug: 342 | 🏁 COMPREHENSIVE DEBUG COMPLETED
2025-08-12 01:41:28.527 |     INFO |                 root | run_comprehensive_debug: 343 | Check log.txt for complete details
